datum	tmin	tmax	rhmin	rhmax	solar	wind
2014-06-15	12.4	23.1	31	84	19.304	0.483217569
2014-06-16	10.7	24	30	90	19.656	0.324942132
2014-06-17	13.9	19.8	50	90	7.165	0.10966434
2014-06-18	13.3	26.5	24	91	22.734	0.29282409
2014-06-19	11.5	27.4	24	94	20.504	0.511284736
2014-06-20	12.2	23.7	41	96	15.879	0.359085618
2014-06-21	10.5	23.1	33	98	19.397	0.287181729
2014-06-22	9.8	28.4	34	96	24.850	0.324074063
2014-06-23	15.4	27.4	38	93	16.304	0.303530118
2014-06-24	13.7	20.2	56	97	7.425	0.235821757
2014-06-25	13.6	18.5	84	98	9.344	0.20225691
2014-06-26	10.2	24.5	29	98	24.959	0.413483764
2014-06-27	12.6	25.7	43	95	19.807	0.224971063
2014-06-28	12.1	27.7	40	98	23.730	0.391493069
2014-06-29	19.4	28.6	37	80	18.108	0.675202542
2014-06-30	11.3	20.9	51	96	11.345	0.545138889
2014-07-01	9.5	23.8	37	98	22.417	0.43330441
2014-07-02	11	26.7	35	98	16.991	0.397280063
2014-07-03	13.6	27.2	29	95	24.208	0.447771951
2014-07-04	11.1	26.4	34	98	23.508	0.418692132
2014-07-05	13.7	29.7	30	95	18.647	0.250578674
2014-07-06	15.3	29.9	34	96	24.408	0.297309014
2014-07-07	15.6	31.7	32	98	23.722	0.196903917
2014-07-08	18.2	26.5	46	94	16.961	0.400752306
2014-07-09	13.8	23.1	46	96	13.191	0.319733799
2014-07-10	13.4	15.6	93	98	4.653	0.258680542
2014-07-11	13.5	23.2	50	97	10.064	0.524160854
2014-07-12	13.4	26	34	92	17.745	0.453993049
2014-07-13	15	26	45	97	18.026	0.26171875
2014-07-14	15.6	24.9	60	97	11.089	0.232204861
2014-07-15	16.3	29.1	37	92	20.890	0.580295118
2014-07-16	17	30	33	95	22.059	0.45196759
2014-07-17	17.6	30.6	30	80	18.027	0.560908514
2014-07-18	16.2	30.1	32	87	21.953	0.313223389
2014-07-19	16.4	31.4	34	96	23.183	0.249421278
2014-07-20	16.2	31.4	43	97	21.785	0.424045132
2014-07-21	17.8	27.7	43	93	11.029	0.381221056
2014-07-22	13.5	23.3	69	97	6.583	0.138744194
2014-07-23	17.9	27.9	37	97	20.334	0.782696757
2014-07-24	13	28.5	31	94	22.449	0.215133083
2014-07-25	17	26.9	46	95	11.964	0.238859944
2014-07-26	16.7	29	45	98	17.066	0.258680542
2014-07-27	16.7	25.8	59	97	11.010	0.368055528
2014-07-28	18.5	24.6	66	97	9.435	0.118200201
2014-07-29	18.4	27.3	53	99	15.738	0.234085618
2014-07-30	16.6	26.5	64	98	9.256	0.347945576
2014-07-31	17.2	26.4	59	98	10.784	0.230613424
2014-08-01	18.4	28.1	51	95	18.731	0.138888875
